day,cases
8/14/08,1
8/21/08,50
8/28/08,50
9/4/08,100
9/11/08,100
9/18/08,200
9/25/08,200
10/2/08,300
10/9/08,400
10/16/08,500
10/23/08,600
10/30/08,1000
11/6/08,1400
11/13/08,2000
11/20/08,2562
11/27/08,3391
12/4/08,3237
12/11/08,3931.8
12/18/08,4264.2
12/25/08,5691
1/1/09,6323
1/8/09,4152
1/15/09,6004
1/22/09,7328
1/29/09,10398
2/5/09,8099.5
2/12/09,4884.5
2/19/09,6865
2/26/09,4235.5
3/5/09,3382.17
3/12/09,2507.33
3/19/09,1069.5
3/26/09,1829.5
4/2/09,1169
4/9/09,1214
4/16/09,934
4/23/09,501
4/30/09,384
5/7/09,420.67
5/14/09,269.83
5/21/09,153.5
5/28/09,76
6/4/09,79.71
6/11/09,49.29
6/18/09,18.67
6/25/09,38.33
7/2/09,7
7/9/09,2
7/16/09,1
7/23/09,0
