week, weekly CFR 
11/27/08,0.03
12/4/08,0.05
12/11/08,0.06
12/18/08,0.07
12/25/08,0.07
1/1/09,0.01
1/8/09,0.06
1/15/09,0.07
1/22/09,0.07
1/29/09,0.04
2/5/09,0.03
2/12/09,0.03
2/19/09,0.03
2/26/09,0.03
3/5/09,0.02
3/12/09,0.02
3/19/09,0.02
3/26/09,0.02
4/2/09,0.03
4/9/09,0.02
4/16/09,0.05
4/23/09,0.08
4/30/09,0.07
5/7/09,0.01
5/14/09,0.01
5/21/09,0.01
5/28/09,0.01
6/4/09,0.04
6/11/09,0.06
6/18/09,0
6/25/09,0.03
7/2/09,
7/9/09,0
7/16/09,0
